id_post,id_campanha,plataforma,tipo_conteudo,descricao,url_midia,data_publicacao,curtidas,comentarios,compartilhamentos,alcance
190,14,Facebook,Post,Post 190: Prato do dia,https://cdn.restaurante.com.br/media/190.jpg,2023-13-01,4044,178,96,48822
68,111,Instagram,live agora,Post 68: Promoção,https://cdn.restaurante.com.br/media/68.jpg,2024-07-03 13:33:00,,413,271,-10
176,87,Twitter/X,Reels,Post 176: Promoção,https://cdn.restaurante.com.br/media/176.jpg,2024-11-08 09:53:00,683,380,27,48599
162,88,Instagram,Carrossel,Post 162: Prato do dia,,2022-03-15 15:17:00,,205,176,9968
79,155,tik tok,,,https://cdn.restaurante.com.br/media/79.jpg,2022-07-24 10:59:00,4423,267,198,
15,193,--,,Post 15: Prato do dia,https://cdn.restaurante.com.br/media/15.jpg,2023-08-22 10:39:00,2272,450,219,6824
141,131,Facebook,Reels,Post 141: Prato do dia,https://cdn.restaurante.com.br/media/141.jpg,2024-12-05 18:41:00,4219,330,111,35500
202,10,YouTube,Reels,Post 202: Evento,https://cdn.restaurante.com.br/media/202.jpg,2024-11-07 15:13:00,2333,378,,46043
203,219,Instagram,Story,Post 203: Cardápio novo,https://cdn.restaurante.com.br/media/203.jpg,2024-06-20 22:05:00,,408,268,18845
140,13,Instagram,storie,Post 140: Prato do dia,https://cdn.restaurante.com.br/media/140.jpg,,,366,30,39793
100,209,Instagram,Carrossel,Post 100: Evento,https://cdn.restaurante.com.br/media/100.jpg,2022-11-19 13:50:00,4185,31,213,31480
46,73,Instagram,Video,Post 46: Prato do dia,https://cdn.restaurante.com.br/media/46.jpg,,788,171,275,18854
144,64,Facebook,,Post 144: Evento,https://cdn.restaurante.com.br/media/144.jpg,2024-11-08 10:18:00,3278,337,72,9455
19,66,Twitter/X,,Post 19: Prato do dia,https://cdn.restaurante.com.br/media/19.jpg,2023-04-24 14:35:00,550,188,152,46032
82,159,Facebook,,Post 82: Prato do dia,https://cdn.restaurante.com.br/media/82.jpg,2023-07-28 12:02:00,4170,275,107,11029
185,29,,Reels,,https://cdn.restaurante.com.br/media/185.jpg,2023-13-01,2565,193,275,39617
186,177,TikTok,,,https://cdn.restaurante.com.br/media/186.jpg,2022-10-24 20:45:00,4864,58,85,36488
174,209,TikTok,Video,Post 174: Prato do dia,https://cdn.restaurante.com.br/media/174.jpg,2022-10-24 16:11:00,1945,54,126,18679
58,176,YouTube,Video,Post 58: Promoção,,2022-01-01 09:27:00,1867,389,89,35700
168,17,TikTok,Story,Post 168: Prato do dia,https://cdn.restaurante.com.br/media/168.jpg,2022-08-14 13:02:00,39,153,175,1556
66,120,YouTube,Story,Post 66: Prato do dia,https://cdn.restaurante.com.br/media/66.jpg,2024-03-12 08:48:00,4221,219,,45084
188,35,Instagram,,Post 188: Prato do dia,https://cdn.restaurante.com.br/media/188.jpg,2024-04-18 20:21:00,2915,264,48,39149
210,62,YouTube,Reels,,https://cdn.restaurante.com.br/media/210.jpg,,3765,403,129,5567
139,164,Facebook,Story,Post 139: Prato do dia,https://cdn.restaurante.com.br/media/139.jpg,2023-06-03 17:58:00,3562,448,68,5136
31,157,Twitter/X,storie,Post 31: Cardápio novo,https://cdn.restaurante.com.br/media/31.jpg,2023-05-12 14:20:00,,21,180,25781
159,48,YouTube,Video,Post 159: Cardápio novo,https://cdn.restaurante.com.br/media/159.jpg,2022-01-02 15:18:00,1981,413,162,39048
114,54,,Reels,Post 114: Prato do dia,https://cdn.restaurante.com.br/media/114.jpg,2023-01-13 15:40:00,3732,79,199,30222
193,67,Facebook,Live,Post 193: Evento,https://cdn.restaurante.com.br/media/193.jpg,2023-05-31 13:14:00,3191,111,26,42716
155,,Facebook,storie,Post 155: Promoção,https://cdn.restaurante.com.br/media/155.jpg,,725,124,213,26540
99,191,yt,Reels,Post 99: Promoção,https://cdn.restaurante.com.br/media/99.jpg,2024-06-14 20:29:00,3879,320,124,22014
204,6,Twitter/X,Story,,https://cdn.restaurante.com.br/media/204.jpg,2023-06-19 17:56:00,1480,104,145,46981
75,1,Facebook,Reels,Post 75: Evento,https://cdn.restaurante.com.br/media/75.jpg,2022-06-27 13:05:00,4338,472,46,35057
17,144,TikTok,Reels,Post 17: Evento,https://cdn.restaurante.com.br/media/17.jpg,2023-02-10 16:27:00,2180,32,,2390
23,103,Twitter/X,carrosel,Post 23: Prato do dia,https://cdn.restaurante.com.br/media/23.jpg,2023-13-01,1334,295,7,32435
49,115,twitter,Post,Post 49: Cardápio novo,,2023/04/30,3245,202,122,31685
118,126,Instagram,Carrossel,Post 118: Promoção,https://cdn.restaurante.com.br/media/118.jpg,2024-12-09 11:01:00,4427,8,37,5982
192,88,TikTok,live agora,Post 192: Promoção,https://cdn.restaurante.com.br/media/192.jpg,,546,322,130,32890
71,40,Instagram,Carrossel,Post 71: Prato do dia,https://cdn.restaurante.com.br/media/71.jpg,2023-07-08 16:00:00,346,237,,23541
126,214,,Story,,https://cdn.restaurante.com.br/media/126.jpg,2022-03-09 11:07:00,4803,80,256,7762
183,129,Facebook,Reels,Post 183: Promoção,https://cdn.restaurante.com.br/media/183.jpg,2023-12-27 14:06:00,3290,391,195,32166
213,150,TikTok,Post,Post 213: Cardápio novo,https://cdn.restaurante.com.br/media/213.jpg,2022-06-11 17:44:00,4111,290,204,24712
154,,YouTube,Live,Post 154: Promoção,https://cdn.restaurante.com.br/media/154.jpg,,933,372,1,21230
143,212,Twitter/X,Video,Post 143: Promoção,https://cdn.restaurante.com.br/media/143.jpg,,3390,33,243,6121
89,192,Facebook,Post,Post 89: Cardápio novo,https://cdn.restaurante.com.br/media/89.jpg,2022-10-03 20:54:00,1094,,112,18701
178,55,TikTok,Post,Post 178: Promoção,https://cdn.restaurante.com.br/media/178.jpg,2022-12-15 17:20:00,3707,389,203,6802
189,105,Instagram,Carrossel,,https://cdn.restaurante.com.br/media/189.jpg,2024-01-21 21:22:00,1458,381,212,8231
166,131,TikTok,Video,Post 166: Prato do dia,https://cdn.restaurante.com.br/media/166.jpg,2024-04-16 20:51:00,1789,,128,
52,55,,Carrossel,Post 52: Cardápio novo,https://cdn.restaurante.com.br/media/52.jpg,2024-04-11 10:55:00,3039,,,-90
163,35,Facebook,Video,Post 163: Evento,https://cdn.restaurante.com.br/media/163.jpg,2024-05-17 10:16:00,4703,231,186,20380
92,201,,Story,Post 92: Evento,https://cdn.restaurante.com.br/media/92.jpg,2024-03-28 15:09:00,4390,117,293,4442
60,,Instagram,,Post 60: Cardápio novo,https://cdn.restaurante.com.br/media/60.jpg,2024-11-02 19:02:00,muitos,475,152,34626
21,31,Facebook,Reels,Post 21: Promoção,https://cdn.restaurante.com.br/media/21.jpg,2024-05-11 14:56:00,4707,328,143,10033
38,167,TikTok,Reels,Post 38: Cardápio novo,https://cdn.restaurante.com.br/media/38.jpg,2022-01-09 09:30:00,2015,321,1,
86,77,Twitter/X,Video,Post 86: Prato do dia,https://cdn.restaurante.com.br/media/86.jpg,2023-06-06 14:11:00,2829,380,293,26208
122,58,YouTube,live agora,Post 122: Evento,https://cdn.restaurante.com.br/media/122.jpg,2022-04-30 10:22:00,167,262,143,12910
172,8,YouTube,Video,Post 172: Evento,https://cdn.restaurante.com.br/media/172.jpg,2023-13-01,,119,42,44228
84,60,Twitter/X,Carrossel,Post 84: Cardápio novo,https://cdn.restaurante.com.br/media/84.jpg,23-03-2023,2615,245,111,35291
148,214,Twitter/X,Video,Post 148: Cardápio novo,https://cdn.restaurante.com.br/media/148.jpg,2024-08-30 09:24:00,4996,,179,31129
179,62,YouTube,Post,Post 179: Prato do dia,https://cdn.restaurante.com.br/media/179.jpg,,muitos,228,88,5779
69,2,Facebook,Carrossel,Post 69: Prato do dia,https://cdn.restaurante.com.br/media/69.jpg,2024-12-30 14:01:00,1911,428,162,
123,137,Facebook,Reels,Post 123: Cardápio novo,https://cdn.restaurante.com.br/media/123.jpg,2023-05-29 10:13:00,39,392,16,
57,75,Facebook,Reels,Post 57: Promoção,https://cdn.restaurante.com.br/media/57.jpg,2023-10-22 11:48:00,3234,478,235,27879
142,141,Instagram,Live,Post 142: Evento,https://cdn.restaurante.com.br/media/142.jpg,2022-03-18 10:56:00,841,207,269,46317
83,114,Twitter/X,Live,Post 83: Evento,https://cdn.restaurante.com.br/media/83.jpg,2022-06-02 19:02:00,3587,449,230,-19
72,213,YouTube,vid,Post 72: Promoção,https://cdn.restaurante.com.br/media/72.jpg,2024-06-04 08:10:00,,138,75,
103,20,TikTok,Video,Post 103: Prato do dia,https://cdn.restaurante.com.br/media/103.jpg,2024-10-21 09:06:00,,335,100,-3
157,32,Facebook,Live,Post 157: Cardápio novo,https://cdn.restaurante.com.br/media/157.jpg,2023-04-22 15:26:00,2916,331,14,9721
5,59,TikTok,Carrossel,Post 5: Promoção,https://cdn.restaurante.com.br/media/5.jpg,2022-09-20 14:54:00,3878,163,,47641
129,158,Instagram,Video,Post 129: Promoção,https://cdn.restaurante.com.br/media/129.jpg,2024-07-13 15:27:00,3506,,29,26089
127,155,YouTube,post mesmo,,https://cdn.restaurante.com.br/media/127.jpg,2022-02-14 10:45:00,2798,,50,27490
164,153,Twitter/X,Carrossel,Post 164: Evento,https://cdn.restaurante.com.br/media/164.jpg,2023-06-08 08:46:00,4038,403,106,27754
105,76,Twitter/X,Reels,Post 105: Prato do dia,https://cdn.restaurante.com.br/media/105.jpg,2022-08-11 15:08:00,4792,440,153,5535
125,213,Twitter/X,Video,Post 125: Promoção,https://cdn.restaurante.com.br/media/125.jpg,2022-07-05 15:10:00,2420,487,80,41757
109,52,TikTok,Story,Post 109: Prato do dia,https://cdn.restaurante.com.br/media/109.jpg,,611,217,31,46182
175,218,TikTok,Live,Post 175: Cardápio novo,https://cdn.restaurante.com.br/media/175.jpg,2024-02-02 11:58:00,312,351,80,43858
77,72,Twitter/X,Video,Post 77: Prato do dia,https://cdn.restaurante.com.br/media/77.jpg,2023-06-16 09:40:00,,254,160,24016
187,41,Instagram,Post,Post 187: Evento,https://cdn.restaurante.com.br/media/187.jpg,2022-06-29 16:07:00,muitos,395,,47508
209,115,TikTok,Carrossel,Post 209: Cardápio novo,https://cdn.restaurante.com.br/media/209.jpg,2022-12-21 18:26:00,3179,125,200,32309
110,203,Facebook,Video,Post 110: Prato do dia,https://cdn.restaurante.com.br/media/110.jpg,2022-07-20 17:43:00,132,69,155,-67
88,164,Facebook,Post,Post 88: Cardápio novo,https://cdn.restaurante.com.br/media/88.jpg,2022-11-07 14:54:00,242,294,,25438
132,67,YouTube,Live,Post 132: Prato do dia,https://cdn.restaurante.com.br/media/132.jpg,2024-02-18 14:39:00,3921,,274,20819
131,166,Twitter/X,Carrossel,Post 131: Promoção,https://cdn.restaurante.com.br/media/131.jpg,2022-06-21 09:18:00,muitos,159,98,6379
112,73,Instagram,Post,Post 112: Cardápio novo,https://cdn.restaurante.com.br/media/112.jpg,,1519,198,34,
11,74,Facebook,Post,Post 11: Evento,https://cdn.restaurante.com.br/media/11.jpg,2024-05-05 14:10:00,3632,,68,30495
54,46,Instagram,Live,Post 54: Cardápio novo,https://cdn.restaurante.com.br/media/54.jpg,2023-10-31 12:28:00,463,363,192,17778
96,166,TikTok,Post,Post 96: Prato do dia,https://cdn.restaurante.com.br/media/96.jpg,2023-10-31 22:53:00,,379,48,8641
63,181,Instagram,Live,Post 63: Cardápio novo,https://cdn.restaurante.com.br/media/63.jpg,NaT,1700,73,213,30307
40,214,YouTube,Post,Post 40: Evento,,2023-02-11 16:30:00,3765,20,97,23312
56,63,Twitter/X,Video,Post 56: Promoção,https://cdn.restaurante.com.br/media/56.jpg,2022-07-01 16:16:00,48,412,51,-47
212,86,Twitter/X,,Post 212: Prato do dia,,2023-01-05 22:12:00,1066,482,210,29235
29,121,Facebook,post mesmo,Post 29: Cardápio novo,https://cdn.restaurante.com.br/media/29.jpg,2023-13-01,465,325,89,28073
196,44,YouTube,Story,Post 196: Cardápio novo,https://cdn.restaurante.com.br/media/196.jpg,27-07-2023,3013,3,157,31797
195,3,Facebook,Video,Post 195: Promoção,https://cdn.restaurante.com.br/media/195.jpg,,2214,48,268,49520
1,145,,Reels,Post 1: Promoção,https://cdn.restaurante.com.br/media/1.jpg,2023-01-17 20:04:00,,451,121,
138,18,Facebook,post mesmo,,https://cdn.restaurante.com.br/media/138.jpg,2024-11-26 12:32:00,1036,198,129,36631
184,176,TikTok,Post,Post 184: Cardápio novo,,2023-09-11 12:50:00,3123,90,253,30927
42,66,insta,Story,Post 42: Evento,https://cdn.restaurante.com.br/media/42.jpg,2024-11-08 08:22:00,,373,48,
135,108,Twitter/X,Video,Post 135: Prato do dia,https://cdn.restaurante.com.br/media/135.jpg,2024-10-05 10:38:00,2617,359,,42848
41,33,TikTok,Post,Post 41: Cardápio novo,https://cdn.restaurante.com.br/media/41.jpg,2024-08-21 14:20:00,muitos,36,241,46262
48,147,Facebook,Carrossel,Post 48: Prato do dia,https://cdn.restaurante.com.br/media/48.jpg,2024-09-22 20:24:00,1083,446,208,12866
217,201,Facebook,Post,Post 217: Prato do dia,https://cdn.restaurante.com.br/media/217.jpg,2024-04-12 14:19:00,4070,245,154,10329
137,37,Facebook,Video,Post 137: Cardápio novo,https://cdn.restaurante.com.br/media/137.jpg,2022-11-16 19:03:00,2209,162,32,
218,21,YouTube,Live,Post 218: Prato do dia,https://cdn.restaurante.com.br/media/218.jpg,2024-01-17 18:10:00,4005,281,167,26531
79,155,tik tok,,,https://cdn.restaurante.com.br/media/79.jpg,2022-07-24 10:59:00,4423,267,198,
199,194,Instagram,Reels,Post 199: Evento,https://cdn.restaurante.com.br/media/199.jpg,2023-09-18 10:17:00,1218,150,1,26026
95,195,Instagram,Live,,,2022-01-05 10:55:00,,336,101,20752
43,3,Instagram,Story,Post 43: Promoção,https://cdn.restaurante.com.br/media/43.jpg,2023-10-01 09:34:00,150,389,127,39747
152,,Twitter/X,Reels,,https://cdn.restaurante.com.br/media/152.jpg,,2728,135,85,49953
39,64,TikTok,Post,,https://cdn.restaurante.com.br/media/39.jpg,2022-12-01 13:14:00,1590,246,,-63
170,94,YouTube,Video,Post 170: Prato do dia,https://cdn.restaurante.com.br/media/170.jpg,2023-12-18 13:18:00,657,132,220,3342
177,198,,Video,Post 177: Prato do dia,https://cdn.restaurante.com.br/media/177.jpg,2024-07-13 15:00:00,2392,177,41,
98,165,Facebook,Post,Post 98: Evento,https://cdn.restaurante.com.br/media/98.jpg,,2082,171,210,46598
85,144,Facebook,Reels,Post 85: Evento,https://cdn.restaurante.com.br/media/85.jpg,2022-07-01 13:35:00,2492,328,83,17353
205,105,YouTube,Reels,Post 205: Evento,https://cdn.restaurante.com.br/media/205.jpg,26-06-2023,4595,222,36,35503
214,131,Twitter/X,Video,Post 214: Prato do dia,https://cdn.restaurante.com.br/media/214.jpg,2022-01-01 12:46:00,4780,210,204,48768
106,173,--,Reels,Post 106: Promoção,https://cdn.restaurante.com.br/media/106.jpg,2023-03-24 13:14:00,269,53,199,7309
